app_id,title,release_date,developer,publisher,genres,positive_ratings,negative_ratings,price
652360,BFF or Die,2018-09-13,ASA Studio,ASA Studio,Action;Casual;Indie,18,3,9.99
799530,Psychopathics,2018-03-02,DarkEvilGames,DarkEvilGames,Violent;Action;Adventure,15,7,1.69
961460,Oppai Puzzle,2018-11-11,NeXToNe,NeXToNe,Casual;Indie,71,6,0.79
513770,Click Space Miner,2016-08-18,SimplexGameStudio,SimplexGameStudio,Action;Casual;Indie,8,14,1.69
666660,Castles,2017-07-14,Quicksilver Software,interplay,Adventure;Strategy,2,3,6.99
648780,It's Quiz Time,2017-11-30,Snap Finger Click,Vision Games Publishing LTD,Casual;Indie;Strategy,36,12,15.99
529150,Lazerbait,2016-10-13,Taylor Stapleton,Taylor Stapleton,Indie;Strategy,383,11,0.0
348470,SAMURAI WARRIORS 4-II,2015-09-29,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Action,757,215,39.99
567160,Katy and Bob: Safari Cafe,2018-06-17,Creobit;Workroom7,8Floor,Casual;Strategy,36,6,3.99
684400,Power War:The First Men,2018-03-22,Andrea Mancuso;Graziano Ferraro,Ferman Studio,Violent;Action;Indie;Massively Multiplayer,3,1,0.0
739000,Grobda Remix,2017-11-15,C.U.M原创游戏;幽兰工房,SakuraGame,Adventure;Casual;Indie,410,143,1.69
566560,Fighters Unleashed,2016-12-27,FLYNET STUDIOS,FLYNET STUDIOS,Action;Adventure;Indie,2,12,2.09
709340,Spirits of Mystery: The Dark Minotaur Collector's Edition,2017-09-25,ERS G Studios,Big Fish Games,Adventure;Casual,1,0,7.19
593250,Voxel Shot VR,2017-05-19,SAT-BOX,SAT-BOX,Action;Casual;Indie,12,0,9.99
716150,Nakawak: Expanded Color Edition,2017-10-11,Anxious Neck Games,Anxious Neck Games,Action;Adventure;Indie,18,4,2.89
457770,Audio Arena,2016-07-25,Skydome Studios,Skydome Studios,Action,20,3,4.99
782210,Arc Surfer,2018-04-30,Pixel Fyzz,Pixel Fyzz,Action;Indie;Racing;Sports;Early Access,5,0,9.29
696400,NeoBoom,2017-09-14,BJGameInd,BJGameInd,Casual;Indie;Strategy,13,23,0.79
1032240,Line Loops - Logic Puzzles,2019-03-25,Final Game Studio,Final Game Studio,Casual;Indie,1,1,4.99
895120,Dog Jam,2018-10-12,D4 Laboratory,D4 Laboratory,Casual;Indie;Strategy,13,2,3.99
542480,Therian Saga,2017-03-27,Virtys,Virtys,Free to Play;Massively Multiplayer;RPG;Strategy,224,100,0.0
3540,Peggle™ Nights,2008-10-15,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,368,24,4.25
513230,The Underground Man,2016-09-01,Mehsoft,Mehsoft,Adventure;Indie,1087,216,1.99
18700,And Yet It Moves,2009-04-02,Broken Rules,Broken Rules,Action;Indie,735,327,6.99
887900,egg is broken. heart is too.,2019-04-04,Curious Visions,Curious Visions,Action;Casual;Indie,15,2,3.99
446460,Highland Warriors,2016-03-04,United Independent Entertainment GmbH,United Independent Entertainment GmbH,Strategy,11,9,5.59
687870,CINEVR - The Movie Theater,2017-08-28,CINEMUR,CINEMUR,Utilities,13,16,0.0
715210,The Pillage,2018-05-31,Bishop Armstrong,Bishop Armstrong,Action;Casual;Indie,25,2,0.79
592040,Energia,2017-02-27,Mark Sowders,Mark Sowders,Action;Casual;Indie;Strategy,7,1,1.59
893490,Team A.R.G. Anthology,2018-07-30,Team A.R.G.;Blake W. Ford,Radical Piece,Casual;Indie,2,0,0.0
293160,AntharioN,2015-07-15,Orphic Software,Orphic Software,Adventure;Indie;RPG;Strategy,107,53,10.99
305920,Another Perspective,2014-08-08,ShaunJS,ShaunJS;Digerati Distribution,Adventure;Indie,252,37,4.79
567480,HEPH,2017-01-24,"Creature of the Rise co.,ltd.","Creature of the Rise co.,ltd.",Gore;Action;Adventure;Indie,13,5,2.09
920810,I ♥ You!,2018-09-10,MyDreamForever,Atriagames,Sexual Content;Nudity;Adventure;Simulation,53,20,0.79
820790,FEAST: Book One «Family Ties»,2018-04-04,FairyPeople,FairyPeople,Adventure;Casual;Free to Play;Indie,55,18,0.0
571260,THE KING OF FIGHTERS XIV STEAM EDITION,2017-06-15,SNK CORPORATION;Abstraction Games,SNK CORPORATION,Action,1531,365,44.99
951130,心之檻,2018-11-09,第一點心;DimSumOneStudio,第一點心;DimSumOneStudio,Casual;Indie;RPG,57,14,5.79
436870,Tank Brawl,2016-04-20,Phung Games,Phung Games,Action;Casual;Indie;RPG,22,11,3.99
392290,Macroboy Y,2018-07-19,Hanged Bunny Studio,Hanged Bunny Studio,Action;Casual;Indie;Early Access,1,0,2.89
438090,Defend Felinearth,2016-06-10,Sixth Line Studios,Sixth Line Studios,Action;Casual;Indie,5,3,1.59
823800,Kitty Play,2018-08-30,Cats Who Play,Cats Who Play,Adventure;Indie,5,3,2.09
754340,Paper Dungeons Crawler,2018-07-17,Agent Mega,Agent Mega,Indie;RPG,16,6,7.19
668300,Chinese Souls-Hua Garden/华夏园,2017-07-14,Dawei Liu,Dawei Liu,Action;Indie;RPG,18,15,2.89
516550,Relativity,2016-08-24,TomCGames,TomCGames,Action;Adventure;Indie,10,1,1.59
655730,This Strange Realm Of Mine,2017-07-19,Doomster Entertainment,Doomster Entertainment,Action;Adventure;Indie,174,36,10.29
762360,Hexed,2018-02-19,GamesByLD,GamesByLD,Casual;Indie,1,0,0.79
755580,Daddy's gone a-hunting,2017-12-12,Wojciech Krupinski,KrupinskiArt,Action;Adventure;Casual;Indie,2,7,0.79
421630,A Study in Steampunk: Choice by Gaslight,2015-11-20,Hosted Games,Hosted Games,Indie;RPG,128,4,2.89
205830,Luxor Evolved,2012-03-01,MumboJumbo,MumboJumbo,Action;Indie;Casual,196,18,6.99
644530,The Maid_san's Caving Adventure - メイドさん洞窟探検 -,2017-06-21,KoheiGallery,KoheiGallery,Action;Indie,9,7,1.59
684320,HOT PINK,2018-05-24,Wildgrass,Wildgrass,Action;Casual;Indie,20,1,7.19
341390,Vulture for NetHack,2015-02-02,DarkArts Studios,DarkArts Studios,Indie;RPG;Strategy,102,45,2.09
308040,Back to Bed,2014-08-06,Bedtime Digital Games,Bedtime Digital Games,Action;Casual;Indie,1497,342,4.49
939200,Gold Magic 800,2018-09-25,Etqan Company,Etqan Company,Casual,1,2,0.79
647990,Batter Up! VR,2017-07-17,Polygon Dust Entertainment Ltd.,Polygon Dust Entertainment Ltd.,Casual;Simulation,16,1,7.19
903760,BinaryBotsVR,2018-11-22,cbinfosystems,cbinfosystems,Adventure;Free to Play,3,4,0.0
969230,Death Space,2018-11-06,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Action;Adventure;Indie,1,8,0.79
887960,Mystery Case Files: Rewind Collector's Edition,2018-07-23,Eipix Entertainment,Big Fish Games,Adventure;Casual,6,1,7.19
568040,Macbat 64,2017-03-17,Siactro,Siactro,Action;Indie,78,13,1.69
720320,ShineG Has Nightmares,2018-04-13,Galulugame,Galulugame,Action;Adventure;Casual;Indie;RPG;Strategy,29,6,1.69
942300,✌ Johnny Rocket,2018-11-12,KG Game Studuo;hede,hede,Action;Indie,9,5,7.19
746910,Chicken Farm 2K17,2017-12-05,Jakal Studios,Jakal Studios,Casual;Free to Play;Indie;Simulation;Strategy,147,62,0.0
366270,SHOCK TROOPERS,2016-05-18,SNK CORPORATION;DotEmu,SNK CORPORATION,Action,58,15,5.59
671510,DESOLATE,2019-01-17,Nearga,HypeTrain Digital,Action;Adventure;RPG,2564,1094,19.99
652610,Stick Nightmare,2017-07-15,Pedro Castro Menezes,Pedro Castro Menezes,Indie,6,1,0.79
977900,Kick The Puppet,2018-12-07,RewindApp,RewindApp,Action;Casual;Indie,1,4,0.79
535760,Unforgiving Trials: The Space Crusade,2016-10-07,Amaterasu Software,Amaterasu Software,Adventure;Indie;RPG,144,100,0.99
340380,Pizzarian,2015-02-03,Alex Jedraszczak,Alex Jedraszczak,Action;Indie,13,2,2.79
242700,Injustice: Gods Among Us Ultimate Edition,2013-11-29,NetherRealm Studios;High Voltage Software,Warner Bros. Interactive Entertainment,Action,8793,1473,14.99
616720,Live2DViewerEX,2017-06-30,Pavo Studio,Pavo Studio,Animation & Modeling;Utilities;Early Access,665,91,3.99
