id,developer
1000788,Nintendo
1000789,Nintendo
1000790,Epoch
1000791,Digiplay
1000791,APh Technological Consulting
1000792,Digiplay
1000792,Mattel Electronics
1000793,Digiplay
1000793,Mattel Electronics
1000794,Digiplay
1000794,Mattel Electronics
1000795,Nichibutsu
1000796,North American Philips Consumer Electronics Corp.
1000796,Konami
1000797,"Kural Electric, Ltd."
1000797,Alpha Denshi
1000798,Cinematronics
1000798,Milton Bradley
1000799,Konami
1000800,Sinneslöschen Corporation
1000802,"Commodore Business Machines, Inc."
1000802,Midway Manufacturing
1000804,Gremlin Industries
1000804,Sega
1000805,J. K. Greye Software
1000806,Nintendo
1000807,Brøderbund Software
1000808,"Riverbank Software, Inc."
1000808,Muse Software
1000809,Brøderbund Software
1000809,"StarCraft, Inc."
1000810,Brøderbund Software
1000810,Atari Corporation
1000812,Digiplay
1000812,APh Technological Consulting
1000813,STEDEK Software
1000813,Spectrum Computers
1000814,Sinclair Research
1000815,Nintendo R&D1
1000815,Nintendo
1000816,Cavalier Computer
1000816,Comptiq
1000817,The Avalon Hill Game Company
1000817,"Microcomputer Games, Inc."
1000818,Bandai
1000819,Activision
1000820,Parker Brothers
1000820,Konami
1000821,"Automated Simulations, Inc."
1000821,"Southern Software, Ltd."
1000822,Quicksilva Ltd.
1000823,"Sega Enterprises, Inc."
1000823,Sega/Gremlin
1000824,CE Software
1000825,Namco
1000826,Strategic Simulations
1000827,Hoei
1000827,Amstar Electronics
1000828,CE Software
1000829,Falcon
1000829,Zaccaria
1000830,Commodore Electronics Ltd.
1000831,Adventure International
1000832,Konami
1000833,Texas Instruments Incorporated
1000834,Activision
1000836,Saber Software
1000837,Coleco
1000837,Exidy
1000838,Adventure International
1000839,Orca
1000839,Tigervision
1000840,GL
1000840,"U.S. Billiards, Inc."
1000841,Quicksilva Ltd.
1000842,Zircon International
1000844,Level-10
1000845,"Sega Enterprises, Inc."
1000845,Sega/Gremlin
1000846,Tandy
1000846,Spectral Associates
1000847,SNK Corporation
1000848,Sirius Software
1000849,Namco
1000850,Strategic Simulations
1000851,Hoei
1000851,Amstar Electronics
1000852,CE Software
1000853,Brøderbund Software
1000854,Nintendo R&D1
1000854,Nintendo
1000855,Brøderbund Software
1000855,"StarCraft, Inc."
1000856,Brøderbund Software
1000856,Atari Corporation
1000858,Sirius Software
1000859,Nintendo
1000860,Sears
1000861,Brøderbund Software
1000862,Nichibutsu
1000862,"Datasoft, Inc."
1000863,HAL Laboratory
1000863,"Commodore Business Machines, Inc."
1000864,Digiplay
1000864,APh Technological Consulting
1000865,Falcon
1000865,Zaccaria
1000866,Adventure International
1000867,Cavalier Computer
1000867,Comptiq
1000868,The Avalon Hill Game Company
1000868,"Microcomputer Games, Inc."
1000869,Stern Electronics
1000871,Saber Software
1000872,Paxman Promotions Ltd.
1000873,Taito Corporation
1000874,Adventure International
1000875,"Automated Simulations, Inc."
1000875,Epyx
1000876,Polyvox
1000876,Atari
1000877,Coleco
1000877,Gremlin Industries
1000878,Grandstand
1000878,Tomy
1000879,ASCII Entertainment
1000880,SNK Corporation
1000881,Polyvox
1000881,Activision
1000882,Sirius Software
1000883,Century Electronics
1000883,Bally Manufacturing
1000884,SNK Corporation
1000885,Sirius Software
1000886,Sirius Software
1000887,Activision
1000888,DahJee
1000888,Namco Limited
1000889,Nintendo
1000890,Nintendo
1000892,"Commodore Business Machines, Inc."
1000893,"SSI (Strategic Simulations, Inc.)"
1000894,Namco
1000894,Commodore Japan
1000895,Thorn EMI Video Ltd.
1000896,Commodore
1000897,On-Line Systems
1000897,"StarCraft, Inc."
1000898,"SSI (Strategic Simulations, Inc.)"
1000899,HAL Laboratory
1000899,"Commodore Business Machines, Inc."
1000900,Sun Electronics
1000900,Tehkan
1000901,Sierra On-Line
1000903,Saber Software
1000904,TO TEK International
1000905,Orca
1000905,Tigervision
1000906,Ectron
1000907,"Microcomputer Games, Inc."
1000907,Kiya Overseas Industry
1000908,Cresta
1000908,Halion
1000909,Apollo Software
1000910,Sentient Software Inc.
1000910,Polarware
1000911,Prism Leisure Corporation Plc
1000911,Adventure International
1000912,Activision
1000914,APX
1000916,Coleco
1000916,Gremlin Industries
1000917,Artsci/Softape
1000918,Grandstand
1000918,Tomy
1000919,SNK Corporation
1000920,Sirius Software
1000921,Namco
